Name,Description,Block
B04[Br-Si],Presence/absence of Br - Si at topological distance 4,2D Atom Pairs
B04[Br-X],Presence/absence of Br - X at topological distance 4,2D Atom Pairs
B04[I-I],Presence/absence of I - I at topological distance 4,2D Atom Pairs
B04[I-B],Presence/absence of I - B at topological distance 4,2D Atom Pairs
B04[I-Si],Presence/absence of I - Si at topological distance 4,2D Atom Pairs
B04[I-X],Presence/absence of I - X at topological distance 4,2D Atom Pairs
B04[B-B],Presence/absence of B - B at topological distance 4,2D Atom Pairs
B04[B-Si],Presence/absence of B - Si at topological distance 4,2D Atom Pairs
B04[B-X],Presence/absence of B - X at topological distance 4,2D Atom Pairs
B04[Si-Si],Presence/absence of Si - Si at topological distance 4,2D Atom Pairs
B04[Si-X],Presence/absence of Si - X at topological distance 4,2D Atom Pairs
B04[X-X],Presence/absence of X - X at topological distance 4,2D Atom Pairs
B05[C-C],Presence/absence of C - C at topological distance 5,2D Atom Pairs
B05[C-N],Presence/absence of C - N at topological distance 5,2D Atom Pairs
B05[C-O],Presence/absence of C - O at topological distance 5,2D Atom Pairs
B05[C-S],Presence/absence of C - S at topological distance 5,2D Atom Pairs
B05[C-P],Presence/absence of C - P at topological distance 5,2D Atom Pairs
B05[C-F],Presence/absence of C - F at topological distance 5,2D Atom Pairs
B05[C-Cl],Presence/absence of C - Cl at topological distance 5,2D Atom Pairs
B05[C-Br],Presence/absence of C - Br at topological distance 5,2D Atom Pairs
B05[C-I],Presence/absence of C - I at topological distance 5,2D Atom Pairs
B05[C-B],Presence/absence of C - B at topological distance 5,2D Atom Pairs
B05[C-Si],Presence/absence of C - Si at topological distance 5,2D Atom Pairs
B05[C-X],Presence/absence of C - X at topological distance 5,2D Atom Pairs
B05[N-N],Presence/absence of N - N at topological distance 5,2D Atom Pairs
B05[N-O],Presence/absence of N - O at topological distance 5,2D Atom Pairs
B05[N-S],Presence/absence of N - S at topological distance 5,2D Atom Pairs
B05[N-P],Presence/absence of N - P at topological distance 5,2D Atom Pairs
B05[N-F],Presence/absence of N - F at topological distance 5,2D Atom Pairs
B05[N-Cl],Presence/absence of N - Cl at topological distance 5,2D Atom Pairs
B05[N-Br],Presence/absence of N - Br at topological distance 5,2D Atom Pairs
B05[N-I],Presence/absence of N - I at topological distance 5,2D Atom Pairs
B05[N-B],Presence/absence of N - B at topological distance 5,2D Atom Pairs
B05[N-Si],Presence/absence of N - Si at topological distance 5,2D Atom Pairs
B05[N-X],Presence/absence of N - X at topological distance 5,2D Atom Pairs
B05[O-O],Presence/absence of O - O at topological distance 5,2D Atom Pairs
B05[O-S],Presence/absence of O - S at topological distance 5,2D Atom Pairs
B05[O-P],Presence/absence of O - P at topological distance 5,2D Atom Pairs
B05[O-F],Presence/absence of O - F at topological distance 5,2D Atom Pairs
B05[O-Cl],Presence/absence of O - Cl at topological distance 5,2D Atom Pairs
B05[O-Br],Presence/absence of O - Br at topological distance 5,2D Atom Pairs
B05[O-I],Presence/absence of O - I at topological distance 5,2D Atom Pairs
B05[O-B],Presence/absence of O - B at topological distance 5,2D Atom Pairs
B05[O-Si],Presence/absence of O - Si at topological distance 5,2D Atom Pairs
B05[O-X],Presence/absence of O - X at topological distance 5,2D Atom Pairs
B05[S-S],Presence/absence of S - S at topological distance 5,2D Atom Pairs
B05[S-P],Presence/absence of S - P at topological distance 5,2D Atom Pairs
B05[S-F],Presence/absence of S - F at topological distance 5,2D Atom Pairs
B05[S-Cl],Presence/absence of S - Cl at topological distance 5,2D Atom Pairs
B05[S-Br],Presence/absence of S - Br at topological distance 5,2D Atom Pairs
B05[S-I],Presence/absence of S - I at topological distance 5,2D Atom Pairs
B05[S-B],Presence/absence of S - B at topological distance 5,2D Atom Pairs
B05[S-Si],Presence/absence of S - Si at topological distance 5,2D Atom Pairs
B05[S-X],Presence/absence of S - X at topological distance 5,2D Atom Pairs
B05[P-P],Presence/absence of P - P at topological distance 5,2D Atom Pairs
B05[P-F],Presence/absence of P - F at topological distance 5,2D Atom Pairs
B05[P-Cl],Presence/absence of P - Cl at topological distance 5,2D Atom Pairs
B05[P-Br],Presence/absence of P - Br at topological distance 5,2D Atom Pairs
B05[P-I],Presence/absence of P - I at topological distance 5,2D Atom Pairs
B05[P-B],Presence/absence of P - B at topological distance 5,2D Atom Pairs
B05[P-Si],Presence/absence of P - Si at topological distance 5,2D Atom Pairs
B05[P-X],Presence/absence of P - X at topological distance 5,2D Atom Pairs
B05[F-F],Presence/absence of F - F at topological distance 5,2D Atom Pairs
B05[F-Cl],Presence/absence of F - Cl at topological distance 5,2D Atom Pairs
B05[F-Br],Presence/absence of F - Br at topological distance 5,2D Atom Pairs
B05[F-I],Presence/absence of F - I at topological distance 5,2D Atom Pairs
B05[F-B],Presence/absence of F - B at topological distance 5,2D Atom Pairs
B05[F-Si],Presence/absence of F - Si at topological distance 5,2D Atom Pairs
B05[F-X],Presence/absence of F - X at topological distance 5,2D Atom Pairs
B05[Cl-Cl],Presence/absence of Cl - Cl at topological distance 5,2D Atom Pairs
B05[Cl-Br],Presence/absence of Cl - Br at topological distance 5,2D Atom Pairs
B05[Cl-I],Presence/absence of Cl - I at topological distance 5,2D Atom Pairs
B05[Cl-B],Presence/absence of Cl - B at topological distance 5,2D Atom Pairs
B05[Cl-Si],Presence/absence of Cl - Si at topological distance 5,2D Atom Pairs
B05[Cl-X],Presence/absence of Cl - X at topological distance 5,2D Atom Pairs
B05[Br-Br],Presence/absence of Br - Br at topological distance 5,2D Atom Pairs
B05[Br-I],Presence/absence of Br - I at topological distance 5,2D Atom Pairs
B05[Br-B],Presence/absence of Br - B at topological distance 5,2D Atom Pairs
B05[Br-Si],Presence/absence of Br - Si at topological distance 5,2D Atom Pairs
B05[Br-X],Presence/absence of Br - X at topological distance 5,2D Atom Pairs
B05[I-I],Presence/absence of I - I at topological distance 5,2D Atom Pairs
B05[I-B],Presence/absence of I - B at topological distance 5,2D Atom Pairs
B05[I-Si],Presence/absence of I - Si at topological distance 5,2D Atom Pairs
B05[I-X],Presence/absence of I - X at topological distance 5,2D Atom Pairs
B05[B-B],Presence/absence of B - B at topological distance 5,2D Atom Pairs
B05[B-Si],Presence/absence of B - Si at topological distance 5,2D Atom Pairs
B05[B-X],Presence/absence of B - X at topological distance 5,2D Atom Pairs
B05[Si-Si],Presence/absence of Si - Si at topological distance 5,2D Atom Pairs
B05[Si-X],Presence/absence of Si - X at topological distance 5,2D Atom Pairs
B05[X-X],Presence/absence of X - X at topological distance 5,2D Atom Pairs
B06[C-C],Presence/absence of C - C at topological distance 6,2D Atom Pairs
B06[C-N],Presence/absence of C - N at topological distance 6,2D Atom Pairs
B06[C-O],Presence/absence of C - O at topological distance 6,2D Atom Pairs
B06[C-S],Presence/absence of C - S at topological distance 6,2D Atom Pairs
B06[C-P],Presence/absence of C - P at topological distance 6,2D Atom Pairs
B06[C-F],Presence/absence of C - F at topological distance 6,2D Atom Pairs
B06[C-Cl],Presence/absence of C - Cl at topological distance 6,2D Atom Pairs
B06[C-Br],Presence/absence of C - Br at topological distance 6,2D Atom Pairs
B06[C-I],Presence/absence of C - I at topological distance 6,2D Atom Pairs
B06[C-B],Presence/absence of C - B at topological distance 6,2D Atom Pairs
B06[C-Si],Presence/absence of C - Si at topological distance 6,2D Atom Pairs
B06[C-X],Presence/absence of C - X at topological distance 6,2D Atom Pairs
B06[N-N],Presence/absence of N - N at topological distance 6,2D Atom Pairs
B06[N-O],Presence/absence of N - O at topological distance 6,2D Atom Pairs
B06[N-S],Presence/absence of N - S at topological distance 6,2D Atom Pairs
B06[N-P],Presence/absence of N - P at topological distance 6,2D Atom Pairs
B06[N-F],Presence/absence of N - F at topological distance 6,2D Atom Pairs
B06[N-Cl],Presence/absence of N - Cl at topological distance 6,2D Atom Pairs
B06[N-Br],Presence/absence of N - Br at topological distance 6,2D Atom Pairs
B06[N-I],Presence/absence of N - I at topological distance 6,2D Atom Pairs
B06[N-B],Presence/absence of N - B at topological distance 6,2D Atom Pairs
B06[N-Si],Presence/absence of N - Si at topological distance 6,2D Atom Pairs
B06[N-X],Presence/absence of N - X at topological distance 6,2D Atom Pairs
B06[O-O],Presence/absence of O - O at topological distance 6,2D Atom Pairs
B06[O-S],Presence/absence of O - S at topological distance 6,2D Atom Pairs
B06[O-P],Presence/absence of O - P at topological distance 6,2D Atom Pairs
B06[O-F],Presence/absence of O - F at topological distance 6,2D Atom Pairs
B06[O-Cl],Presence/absence of O - Cl at topological distance 6,2D Atom Pairs
B06[O-Br],Presence/absence of O - Br at topological distance 6,2D Atom Pairs
B06[O-I],Presence/absence of O - I at topological distance 6,2D Atom Pairs
B06[O-B],Presence/absence of O - B at topological distance 6,2D Atom Pairs
B06[O-Si],Presence/absence of O - Si at topological distance 6,2D Atom Pairs
B06[O-X],Presence/absence of O - X at topological distance 6,2D Atom Pairs
B06[S-S],Presence/absence of S - S at topological distance 6,2D Atom Pairs
B06[S-P],Presence/absence of S - P at topological distance 6,2D Atom Pairs
B06[S-F],Presence/absence of S - F at topological distance 6,2D Atom Pairs
B06[S-Cl],Presence/absence of S - Cl at topological distance 6,2D Atom Pairs
B06[S-Br],Presence/absence of S - Br at topological distance 6,2D Atom Pairs
B06[S-I],Presence/absence of S - I at topological distance 6,2D Atom Pairs
B06[S-B],Presence/absence of S - B at topological distance 6,2D Atom Pairs
B06[S-Si],Presence/absence of S - Si at topological distance 6,2D Atom Pairs
B06[S-X],Presence/absence of S - X at topological distance 6,2D Atom Pairs
B06[P-P],Presence/absence of P - P at topological distance 6,2D Atom Pairs
B06[P-F],Presence/absence of P - F at topological distance 6,2D Atom Pairs
B06[P-Cl],Presence/absence of P - Cl at topological distance 6,2D Atom Pairs
B06[P-Br],Presence/absence of P - Br at topological distance 6,2D Atom Pairs
B06[P-I],Presence/absence of P - I at topological distance 6,2D Atom Pairs
B06[P-B],Presence/absence of P - B at topological distance 6,2D Atom Pairs
B06[P-Si],Presence/absence of P - Si at topological distance 6,2D Atom Pairs
B06[P-X],Presence/absence of P - X at topological distance 6,2D Atom Pairs
B06[F-F],Presence/absence of F - F at topological distance 6,2D Atom Pairs
B06[F-Cl],Presence/absence of F - Cl at topological distance 6,2D Atom Pairs
B06[F-Br],Presence/absence of F - Br at topological distance 6,2D Atom Pairs
B06[F-I],Presence/absence of F - I at topological distance 6,2D Atom Pairs
B06[F-B],Presence/absence of F - B at topological distance 6,2D Atom Pairs
B06[F-Si],Presence/absence of F - Si at topological distance 6,2D Atom Pairs
B06[F-X],Presence/absence of F - X at topological distance 6,2D Atom Pairs
B06[Cl-Cl],Presence/absence of Cl - Cl at topological distance 6,2D Atom Pairs
B06[Cl-Br],Presence/absence of Cl - Br at topological distance 6,2D Atom Pairs
B06[Cl-I],Presence/absence of Cl - I at topological distance 6,2D Atom Pairs
B06[Cl-B],Presence/absence of Cl - B at topological distance 6,2D Atom Pairs
B06[Cl-Si],Presence/absence of Cl - Si at topological distance 6,2D Atom Pairs
B06[Cl-X],Presence/absence of Cl - X at topological distance 6,2D Atom Pairs
B06[Br-Br],Presence/absence of Br - Br at topological distance 6,2D Atom Pairs
B06[Br-I],Presence/absence of Br - I at topological distance 6,2D Atom Pairs
B06[Br-B],Presence/absence of Br - B at topological distance 6,2D Atom Pairs
B06[Br-Si],Presence/absence of Br - Si at topological distance 6,2D Atom Pairs
B06[Br-X],Presence/absence of Br - X at topological distance 6,2D Atom Pairs
B06[I-I],Presence/absence of I - I at topological distance 6,2D Atom Pairs
B06[I-B],Presence/absence of I - B at topological distance 6,2D Atom Pairs
B06[I-Si],Presence/absence of I - Si at topological distance 6,2D Atom Pairs
B06[I-X],Presence/absence of I - X at topological distance 6,2D Atom Pairs
B06[B-B],Presence/absence of B - B at topological distance 6,2D Atom Pairs
B06[B-Si],Presence/absence of B - Si at topological distance 6,2D Atom Pairs
B06[B-X],Presence/absence of B - X at topological distance 6,2D Atom Pairs
B06[Si-Si],Presence/absence of Si - Si at topological distance 6,2D Atom Pairs
B06[Si-X],Presence/absence of Si - X at topological distance 6,2D Atom Pairs
B06[X-X],Presence/absence of X - X at topological distance 6,2D Atom Pairs
B07[C-C],Presence/absence of C - C at topological distance 7,2D Atom Pairs
B07[C-N],Presence/absence of C - N at topological distance 7,2D Atom Pairs
B07[C-O],Presence/absence of C - O at topological distance 7,2D Atom Pairs
B07[C-S],Presence/absence of C - S at topological distance 7,2D Atom Pairs
B07[C-P],Presence/absence of C - P at topological distance 7,2D Atom Pairs
B07[C-F],Presence/absence of C - F at topological distance 7,2D Atom Pairs
B07[C-Cl],Presence/absence of C - Cl at topological distance 7,2D Atom Pairs
B07[C-Br],Presence/absence of C - Br at topological distance 7,2D Atom Pairs
B07[C-I],Presence/absence of C - I at topological distance 7,2D Atom Pairs
B07[C-B],Presence/absence of C - B at topological distance 7,2D Atom Pairs
B07[C-Si],Presence/absence of C - Si at topological distance 7,2D Atom Pairs
B07[C-X],Presence/absence of C - X at topological distance 7,2D Atom Pairs
B07[N-N],Presence/absence of N - N at topological distance 7,2D Atom Pairs
B07[N-O],Presence/absence of N - O at topological distance 7,2D Atom Pairs
B07[N-S],Presence/absence of N - S at topological distance 7,2D Atom Pairs
B07[N-P],Presence/absence of N - P at topological distance 7,2D Atom Pairs
B07[N-F],Presence/absence of N - F at topological distance 7,2D Atom Pairs
B07[N-Cl],Presence/absence of N - Cl at topological distance 7,2D Atom Pairs
B07[N-Br],Presence/absence of N - Br at topological distance 7,2D Atom Pairs
B07[N-I],Presence/absence of N - I at topological distance 7,2D Atom Pairs
B07[N-B],Presence/absence of N - B at topological distance 7,2D Atom Pairs
B07[N-Si],Presence/absence of N - Si at topological distance 7,2D Atom Pairs
B07[N-X],Presence/absence of N - X at topological distance 7,2D Atom Pairs
B07[O-O],Presence/absence of O - O at topological distance 7,2D Atom Pairs
B07[O-S],Presence/absence of O - S at topological distance 7,2D Atom Pairs
B07[O-P],Presence/absence of O - P at topological distance 7,2D Atom Pairs
B07[O-F],Presence/absence of O - F at topological distance 7,2D Atom Pairs
B07[O-Cl],Presence/absence of O - Cl at topological distance 7,2D Atom Pairs
B07[O-Br],Presence/absence of O - Br at topological distance 7,2D Atom Pairs
B07[O-I],Presence/absence of O - I at topological distance 7,2D Atom Pairs
B07[O-B],Presence/absence of O - B at topological distance 7,2D Atom Pairs
B07[O-Si],Presence/absence of O - Si at topological distance 7,2D Atom Pairs
B07[O-X],Presence/absence of O - X at topological distance 7,2D Atom Pairs
B07[S-S],Presence/absence of S - S at topological distance 7,2D Atom Pairs
B07[S-P],Presence/absence of S - P at topological distance 7,2D Atom Pairs
B07[S-F],Presence/absence of S - F at topological distance 7,2D Atom Pairs
B07[S-Cl],Presence/absence of S - Cl at topological distance 7,2D Atom Pairs
B07[S-Br],Presence/absence of S - Br at topological distance 7,2D Atom Pairs
B07[S-I],Presence/absence of S - I at topological distance 7,2D Atom Pairs
B07[S-B],Presence/absence of S - B at topological distance 7,2D Atom Pairs
B07[S-Si],Presence/absence of S - Si at topological distance 7,2D Atom Pairs
B07[S-X],Presence/absence of S - X at topological distance 7,2D Atom Pairs
B07[P-P],Presence/absence of P - P at topological distance 7,2D Atom Pairs
B07[P-F],Presence/absence of P - F at topological distance 7,2D Atom Pairs
B07[P-Cl],Presence/absence of P - Cl at topological distance 7,2D Atom Pairs
B07[P-Br],Presence/absence of P - Br at topological distance 7,2D Atom Pairs
B07[P-I],Presence/absence of P - I at topological distance 7,2D Atom Pairs
B07[P-B],Presence/absence of P - B at topological distance 7,2D Atom Pairs
B07[P-Si],Presence/absence of P - Si at topological distance 7,2D Atom Pairs
B07[P-X],Presence/absence of P - X at topological distance 7,2D Atom Pairs
B07[F-F],Presence/absence of F - F at topological distance 7,2D Atom Pairs
B07[F-Cl],Presence/absence of F - Cl at topological distance 7,2D Atom Pairs
B07[F-Br],Presence/absence of F - Br at topological distance 7,2D Atom Pairs
B07[F-I],Presence/absence of F - I at topological distance 7,2D Atom Pairs
B07[F-B],Presence/absence of F - B at topological distance 7,2D Atom Pairs
B07[F-Si],Presence/absence of F - Si at topological distance 7,2D Atom Pairs
B07[F-X],Presence/absence of F - X at topological distance 7,2D Atom Pairs
B07[Cl-Cl],Presence/absence of Cl - Cl at topological distance 7,2D Atom Pairs
B07[Cl-Br],Presence/absence of Cl - Br at topological distance 7,2D Atom Pairs
B07[Cl-I],Presence/absence of Cl - I at topological distance 7,2D Atom Pairs
B07[Cl-B],Presence/absence of Cl - B at topological distance 7,2D Atom Pairs
B07[Cl-Si],Presence/absence of Cl - Si at topological distance 7,2D Atom Pairs
B07[Cl-X],Presence/absence of Cl - X at topological distance 7,2D Atom Pairs
B07[Br-Br],Presence/absence of Br - Br at topological distance 7,2D Atom Pairs
B07[Br-I],Presence/absence of Br - I at topological distance 7,2D Atom Pairs
B07[Br-B],Presence/absence of Br - B at topological distance 7,2D Atom Pairs
B07[Br-Si],Presence/absence of Br - Si at topological distance 7,2D Atom Pairs
B07[Br-X],Presence/absence of Br - X at topological distance 7,2D Atom Pairs
B07[I-I],Presence/absence of I - I at topological distance 7,2D Atom Pairs
B07[I-B],Presence/absence of I - B at topological distance 7,2D Atom Pairs
B07[I-Si],Presence/absence of I - Si at topological distance 7,2D Atom Pairs
B07[I-X],Presence/absence of I - X at topological distance 7,2D Atom Pairs
B07[B-B],Presence/absence of B - B at topological distance 7,2D Atom Pairs
B07[B-Si],Presence/absence of B - Si at topological distance 7,2D Atom Pairs
B07[B-X],Presence/absence of B - X at topological distance 7,2D Atom Pairs
B07[Si-Si],Presence/absence of Si - Si at topological distance 7,2D Atom Pairs
B07[Si-X],Presence/absence of Si - X at topological distance 7,2D Atom Pairs
B07[X-X],Presence/absence of X - X at topological distance 7,2D Atom Pairs
B08[C-C],Presence/absence of C - C at topological distance 8,2D Atom Pairs
B08[C-N],Presence/absence of C - N at topological distance 8,2D Atom Pairs
B08[C-O],Presence/absence of C - O at topological distance 8,2D Atom Pairs
B08[C-S],Presence/absence of C - S at topological distance 8,2D Atom Pairs
B08[C-P],Presence/absence of C - P at topological distance 8,2D Atom Pairs
B08[C-F],Presence/absence of C - F at topological distance 8,2D Atom Pairs
B08[C-Cl],Presence/absence of C - Cl at topological distance 8,2D Atom Pairs
B08[C-Br],Presence/absence of C - Br at topological distance 8,2D Atom Pairs
B08[C-I],Presence/absence of C - I at topological distance 8,2D Atom Pairs
B08[C-B],Presence/absence of C - B at topological distance 8,2D Atom Pairs
B08[C-Si],Presence/absence of C - Si at topological distance 8,2D Atom Pairs
B08[C-X],Presence/absence of C - X at topological distance 8,2D Atom Pairs
B08[N-N],Presence/absence of N - N at topological distance 8,2D Atom Pairs
B08[N-O],Presence/absence of N - O at topological distance 8,2D Atom Pairs
B08[N-S],Presence/absence of N - S at topological distance 8,2D Atom Pairs
B08[N-P],Presence/absence of N - P at topological distance 8,2D Atom Pairs
B08[N-F],Presence/absence of N - F at topological distance 8,2D Atom Pairs
B08[N-Cl],Presence/absence of N - Cl at topological distance 8,2D Atom Pairs
B08[N-Br],Presence/absence of N - Br at topological distance 8,2D Atom Pairs
B08[N-I],Presence/absence of N - I at topological distance 8,2D Atom Pairs
B08[N-B],Presence/absence of N - B at topological distance 8,2D Atom Pairs
B08[N-Si],Presence/absence of N - Si at topological distance 8,2D Atom Pairs
B08[N-X],Presence/absence of N - X at topological distance 8,2D Atom Pairs
B08[O-O],Presence/absence of O - O at topological distance 8,2D Atom Pairs
B08[O-S],Presence/absence of O - S at topological distance 8,2D Atom Pairs
B08[O-P],Presence/absence of O - P at topological distance 8,2D Atom Pairs
B08[O-F],Presence/absence of O - F at topological distance 8,2D Atom Pairs
B08[O-Cl],Presence/absence of O - Cl at topological distance 8,2D Atom Pairs
B08[O-Br],Presence/absence of O - Br at topological distance 8,2D Atom Pairs
B08[O-I],Presence/absence of O - I at topological distance 8,2D Atom Pairs
B08[O-B],Presence/absence of O - B at topological distance 8,2D Atom Pairs
B08[O-Si],Presence/absence of O - Si at topological distance 8,2D Atom Pairs
B08[O-X],Presence/absence of O - X at topological distance 8,2D Atom Pairs
B08[S-S],Presence/absence of S - S at topological distance 8,2D Atom Pairs
B08[S-P],Presence/absence of S - P at topological distance 8,2D Atom Pairs
B08[S-F],Presence/absence of S - F at topological distance 8,2D Atom Pairs
B08[S-Cl],Presence/absence of S - Cl at topological distance 8,2D Atom Pairs
B08[S-Br],Presence/absence of S - Br at topological distance 8,2D Atom Pairs
B08[S-I],Presence/absence of S - I at topological distance 8,2D Atom Pairs
B08[S-B],Presence/absence of S - B at topological distance 8,2D Atom Pairs
B08[S-Si],Presence/absence of S - Si at topological distance 8,2D Atom Pairs
B08[S-X],Presence/absence of S - X at topological distance 8,2D Atom Pairs
B08[P-P],Presence/absence of P - P at topological distance 8,2D Atom Pairs
B08[P-F],Presence/absence of P - F at topological distance 8,2D Atom Pairs
B08[P-Cl],Presence/absence of P - Cl at topological distance 8,2D Atom Pairs
B08[P-Br],Presence/absence of P - Br at topological distance 8,2D Atom Pairs
B08[P-I],Presence/absence of P - I at topological distance 8,2D Atom Pairs
B08[P-B],Presence/absence of P - B at topological distance 8,2D Atom Pairs
B08[P-Si],Presence/absence of P - Si at topological distance 8,2D Atom Pairs
B08[P-X],Presence/absence of P - X at topological distance 8,2D Atom Pairs
B08[F-F],Presence/absence of F - F at topological distance 8,2D Atom Pairs
B08[F-Cl],Presence/absence of F - Cl at topological distance 8,2D Atom Pairs
B08[F-Br],Presence/absence of F - Br at topological distance 8,2D Atom Pairs
B08[F-I],Presence/absence of F - I at topological distance 8,2D Atom Pairs
B08[F-B],Presence/absence of F - B at topological distance 8,2D Atom Pairs
B08[F-Si],Presence/absence of F - Si at topological distance 8,2D Atom Pairs
B08[F-X],Presence/absence of F - X at topological distance 8,2D Atom Pairs
B08[Cl-Cl],Presence/absence of Cl - Cl at topological distance 8,2D Atom Pairs
B08[Cl-Br],Presence/absence of Cl - Br at topological distance 8,2D Atom Pairs
B08[Cl-I],Presence/absence of Cl - I at topological distance 8,2D Atom Pairs
B08[Cl-B],Presence/absence of Cl - B at topological distance 8,2D Atom Pairs
B08[Cl-Si],Presence/absence of Cl - Si at topological distance 8,2D Atom Pairs
B08[Cl-X],Presence/absence of Cl - X at topological distance 8,2D Atom Pairs
B08[Br-Br],Presence/absence of Br - Br at topological distance 8,2D Atom Pairs
B08[Br-I],Presence/absence of Br - I at topological distance 8,2D Atom Pairs
B08[Br-B],Presence/absence of Br - B at topological distance 8,2D Atom Pairs
B08[Br-Si],Presence/absence of Br - Si at topological distance 8,2D Atom Pairs
B08[Br-X],Presence/absence of Br - X at topological distance 8,2D Atom Pairs
B08[I-I],Presence/absence of I - I at topological distance 8,2D Atom Pairs
B08[I-B],Presence/absence of I - B at topological distance 8,2D Atom Pairs
B08[I-Si],Presence/absence of I - Si at topological distance 8,2D Atom Pairs
B08[I-X],Presence/absence of I - X at topological distance 8,2D Atom Pairs
B08[B-B],Presence/absence of B - B at topological distance 8,2D Atom Pairs
B08[B-Si],Presence/absence of B - Si at topological distance 8,2D Atom Pairs
B08[B-X],Presence/absence of B - X at topological distance 8,2D Atom Pairs
B08[Si-Si],Presence/absence of Si - Si at topological distance 8,2D Atom Pairs
B08[Si-X],Presence/absence of Si - X at topological distance 8,2D Atom Pairs
B08[X-X],Presence/absence of X - X at topological distance 8,2D Atom Pairs
B09[C-C],Presence/absence of C - C at topological distance 9,2D Atom Pairs
B09[C-N],Presence/absence of C - N at topological distance 9,2D Atom Pairs
B09[C-O],Presence/absence of C - O at topological distance 9,2D Atom Pairs
B09[C-S],Presence/absence of C - S at topological distance 9,2D Atom Pairs
B09[C-P],Presence/absence of C - P at topological distance 9,2D Atom Pairs
B09[C-F],Presence/absence of C - F at topological distance 9,2D Atom Pairs
B09[C-Cl],Presence/absence of C - Cl at topological distance 9,2D Atom Pairs
B09[C-Br],Presence/absence of C - Br at topological distance 9,2D Atom Pairs
B09[C-I],Presence/absence of C - I at topological distance 9,2D Atom Pairs
B09[C-B],Presence/absence of C - B at topological distance 9,2D Atom Pairs
B09[C-Si],Presence/absence of C - Si at topological distance 9,2D Atom Pairs
B09[C-X],Presence/absence of C - X at topological distance 9,2D Atom Pairs
B09[N-N],Presence/absence of N - N at topological distance 9,2D Atom Pairs
B09[N-O],Presence/absence of N - O at topological distance 9,2D Atom Pairs
B09[N-S],Presence/absence of N - S at topological distance 9,2D Atom Pairs
B09[N-P],Presence/absence of N - P at topological distance 9,2D Atom Pairs
B09[N-F],Presence/absence of N - F at topological distance 9,2D Atom Pairs
B09[N-Cl],Presence/absence of N - Cl at topological distance 9,2D Atom Pairs
B09[N-Br],Presence/absence of N - Br at topological distance 9,2D Atom Pairs
B09[N-I],Presence/absence of N - I at topological distance 9,2D Atom Pairs
B09[N-B],Presence/absence of N - B at topological distance 9,2D Atom Pairs
B09[N-Si],Presence/absence of N - Si at topological distance 9,2D Atom Pairs
B09[N-X],Presence/absence of N - X at topological distance 9,2D Atom Pairs
B09[O-O],Presence/absence of O - O at topological distance 9,2D Atom Pairs
B09[O-S],Presence/absence of O - S at topological distance 9,2D Atom Pairs
B09[O-P],Presence/absence of O - P at topological distance 9,2D Atom Pairs
B09[O-F],Presence/absence of O - F at topological distance 9,2D Atom Pairs
B09[O-Cl],Presence/absence of O - Cl at topological distance 9,2D Atom Pairs
B09[O-Br],Presence/absence of O - Br at topological distance 9,2D Atom Pairs
B09[O-I],Presence/absence of O - I at topological distance 9,2D Atom Pairs
B09[O-B],Presence/absence of O - B at topological distance 9,2D Atom Pairs
B09[O-Si],Presence/absence of O - Si at topological distance 9,2D Atom Pairs
B09[O-X],Presence/absence of O - X at topological distance 9,2D Atom Pairs
B09[S-S],Presence/absence of S - S at topological distance 9,2D Atom Pairs
B09[S-P],Presence/absence of S - P at topological distance 9,2D Atom Pairs
B09[S-F],Presence/absence of S - F at topological distance 9,2D Atom Pairs
B09[S-Cl],Presence/absence of S - Cl at topological distance 9,2D Atom Pairs
B09[S-Br],Presence/absence of S - Br at topological distance 9,2D Atom Pairs
B09[S-I],Presence/absence of S - I at topological distance 9,2D Atom Pairs
B09[S-B],Presence/absence of S - B at topological distance 9,2D Atom Pairs
B09[S-Si],Presence/absence of S - Si at topological distance 9,2D Atom Pairs
B09[S-X],Presence/absence of S - X at topological distance 9,2D Atom Pairs
B09[P-P],Presence/absence of P - P at topological distance 9,2D Atom Pairs
B09[P-F],Presence/absence of P - F at topological distance 9,2D Atom Pairs
B09[P-Cl],Presence/absence of P - Cl at topological distance 9,2D Atom Pairs
B09[P-Br],Presence/absence of P - Br at topological distance 9,2D Atom Pairs
B09[P-I],Presence/absence of P - I at topological distance 9,2D Atom Pairs
B09[P-B],Presence/absence of P - B at topological distance 9,2D Atom Pairs
B09[P-Si],Presence/absence of P - Si at topological distance 9,2D Atom Pairs
B09[P-X],Presence/absence of P - X at topological distance 9,2D Atom Pairs
B09[F-F],Presence/absence of F - F at topological distance 9,2D Atom Pairs
B09[F-Cl],Presence/absence of F - Cl at topological distance 9,2D Atom Pairs
B09[F-Br],Presence/absence of F - Br at topological distance 9,2D Atom Pairs
B09[F-I],Presence/absence of F - I at topological distance 9,2D Atom Pairs
B09[F-B],Presence/absence of F - B at topological distance 9,2D Atom Pairs
B09[F-Si],Presence/absence of F - Si at topological distance 9,2D Atom Pairs
B09[F-X],Presence/absence of F - X at topological distance 9,2D Atom Pairs
B09[Cl-Cl],Presence/absence of Cl - Cl at topological distance 9,2D Atom Pairs
B09[Cl-Br],Presence/absence of Cl - Br at topological distance 9,2D Atom Pairs
B09[Cl-I],Presence/absence of Cl - I at topological distance 9,2D Atom Pairs
B09[Cl-B],Presence/absence of Cl - B at topological distance 9,2D Atom Pairs
